SCHOOLNAME,DISTrictNUMBER,DISTRICTNAME,EMH,EMH_Combined,SCHOOLNUMBER,AEC_10,Charter,Online,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
MEADOW POINT ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,5744,0,0,0,Performance Plan,Performance Plan,,1,0,6,799,6,6,6,6,6,7,6,8,7,
MOUNTAIN VIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,,6750,0,0,0,Performance Plan,Performance Plan,,1,0,6,799,9,9,9,9,7,5,6,6,3,
SLATER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7962,0,0,0,Performance Plan,Performance Plan,,1,0,6,799,6,6,6,5,6,7,9,8,6,
SPROUL JUNIOR HIGH SCHOOL,990,WIDEFIELD 3,M,,8178,0,0,0,Performance Plan,Performance Plan,,1,0,6,799,6,6,6,6,6,8,6,9,6,
WINGATE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,9673,0,0,0,Performance Plan,Performance Plan,,1,0,6,799,7,7,7,8,7,6,6,5,9,
COTOPAXI ELEMENTARY SCHOOL,1160,COTOPAXI RE-3,E,,3220,0,0,0,Performance Plan,Performance Plan,,1,0,6,805,6,8,6,6,7,6,2,10,5,
POMONA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,7110,0,0,0,Performance Plan,Performance Plan,,1,0,6,805,6,6,6,6,6,6,6,5,6,
BERRY CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,,793,0,0,0,Performance Plan,Performance Plan,,1,0,6,807,5,5,4,5,5,9,9,9,6,
BYERS ELEMENTARY SCHOOL,190,BYERS 32J,E,,1168,0,0,0,Performance Plan,Performance Plan,,1,0,6,807,7,7,7,6,6,5,2,6,6,
WELDON VALLEY ELEMENTARY SCHOOL,2505,WELDON VALLEY RE-20(J),E,,9352,0,0,0,Performance Plan,Performance Plan,,1,0,6,807,7,6,9,6,6,6,5,9,6,
ROCKY MOUNTAIN CLASSICAL ACADEMY,1110,FALCON 49,E,,7463,0,1,0,,,,1,0,6,807,7,7,9,6,6,5,3,6,6,
FITZMORRIS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2946,0,0,0,Performance Plan,Performance Plan,,1,0,6,811,6,6,6,6,6,7,7,7,6,
HORIZON MIDDLE SCHOOL,1110,FALCON 49,M,,4102,0,0,0,Performance Plan,Performance Plan,,1,0,6,811,6,6,6,8,7,6,6,6,6,
RANCH VIEW MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,,7245,0,0,0,Performance Plan,Performance Plan,,1,0,6,811,9,9,7,9,9,5,5,6,6,
LITTLE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5222,0,0,0,Performance Plan,Performance Plan,,1,0,6,814,6,6,5,6,7,6,6,6,8,
JEFFERSON COUNTY OPEN SECONDARY,1420,JEFFERSON COUNTY R-1,M,,6541,0,0,0,,,,1,0,6,814,6,6,2,6,7,6,6,9,6,
MC KINLEY-THATCHER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,5702,0,0,0,Performance Plan,Improvement Plan,Deferred to district rating,1,0,6,816,6,5,5,6,6,6,6,6,7,
RUDY ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,7513,0,0,0,Performance Plan,Performance Plan,,1,0,6,816,8,8,9,8,6,5,6,5,5,
SEDALIA ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,7718,0,0,0,Performance Plan,Performance Plan,,1,0,6,816,6,6,7,6,6,6,7,6,6,
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,E,,429,0,1,0,,,,1,0,6,816,10,12,9,10,9,3,2,3,6,
BILL REED MIDDLE SCHOOL,1560,THOMPSON R2-J,M,,5312,0,0,0,Performance Plan,Performance Plan,,1,0,6,820,6,6,6,6,6,6,6,7,5,
MILLIKEN MIDDLE SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,M,,5902,0,0,0,Performance Plan,Performance Plan,,1,0,6,820,6,6,6,7,6,8,8,7,8,
SKINNER MIDDLE SCHOOL,880,DENVER COUNTY 1,M,,7942,0,0,0,Performance Plan,Performance Plan,,1,0,6,820,4,4,3,5,4,9,12,9,6,
BROOMFIELD HEIGHTS MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,,1066,0,0,0,Performance Plan,Performance Plan,,1,0,6,823,6,6,6,6,7,6,6,6,6,
CENTURY MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,,1480,0,0,0,Performance Plan,Performance Plan,,1,0,6,823,6,7,6,7,9,5,6,5,6,
ROXBOROUGH INTERMEDIATE,900,DOUGLAS COUNTY RE 1,E,,2954,0,0,0,Performance Plan,Performance Plan,,1,0,6,823,8,8,9,6,7,6,6,6,5,
KIM ELEMENTARY SCHOOL,1760,KIM REORGANIZED 88,E,,4690,0,0,0,Performance Plan,Performance Plan,,1,0,6,823,,6,6,6,,6,6,5,6,
PRAIRIE HEIGHTS ELEMENTARY SCHOOL,1070,HANOVER 28,E,,6701,0,0,0,Performance Plan,Performance Plan,,1,0,6,823,,6,9,7,,6,1,9,6,
RIDGWAY ELEMENTARY SCHOOL,2590,RIDGWAY R-2,E,,7342,0,0,0,Performance Plan,Performance Plan,,1,0,6,823,9,9,9,9,9,6,6,5,6,
SUNRISE ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,,8392,0,0,0,Performance Plan,Performance Plan,,1,0,6,823,7,6,7,7,6,6,6,5,7,
ELBERT JUNIOR-SENIOR HIGH SCHOOL,950,ELBERT 200,M,,2574,0,0,0,,,,1,0,6,823,6,7,6,7,9,6,7,4,9,
ROCKY MOUNTAIN ACADEMY OF EVERGREEN,1420,JEFFERSON COUNTY R-1,M,,7462,0,1,0,,,,1,0,6,823,9,9,7,10,7,5,5,4,6,
CIMARRON ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,1614,0,0,0,Performance Plan,Performance Plan,,1,0,6,832,6,6,6,6,6,7,8,6,7,
GARDEN PLACE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,3296,0,0,0,Performance Plan,Performance Plan,,1,0,6,832,3,1,6,3,1,12,6,13,9,
HIGHLAND PARK ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,3976,0,0,0,Performance Plan,Performance Plan,,1,0,6,832,6,6,6,6,5,6,6,6,6,
ROOSEVELT EDISON CHARTER SCHOOL,1010,COLORADO SPRINGS 11,E,,7482,0,1,0,Performance Plan,Performance Plan,,1,0,6,832,6,5,6,6,6,6,6,7,6,
WELD CENTRAL JUNIOR HIGH SCHOOL,3090,KEENESBURG RE-3(J),M,,9347,0,0,0,Performance Plan,Performance Plan,,1,0,6,836,6,6,6,6,6,6,6,6,6,
SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,110,SANGRE DE CRISTO RE-22J,M,,7630,0,0,0,,,,1,0,6,836,6,6,5,6,10,6,7,6,6,
MONFORT ELEMENTARY SCHOOL,3120,GREELEY 6,E,,5985,0,0,0,Performance Plan,Performance Plan,,1,0,6,838,7,6,8,6,6,6,5,8,6,
HOTCHKISS ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),M,,4124,0,0,0,,,,1,0,6,838,7,7,6,9,8,5,5,6,5,
AVONDALE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,472,0,0,0,Performance Plan,Performance Plan,,1,0,6,840,6,6,6,6,6,6,6,5,8,
PRAIRIE MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,7158,0,0,0,Performance Plan,Performance Plan,,1,0,6,840,6,5,6,6,6,9,6,10,6,
CRAVER MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,7532,0,0,0,Performance Plan,Performance Plan,,1,0,6,840,7,7,6,9,9,6,6,5,6,
SOROCO MIDDLE SCHOOL,2780,SOUTH ROUTT RE 3,M,,8048,0,0,0,Performance Plan,Performance Plan,,1,0,6,840,6,6,5,6,9,6,12,1,8,
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,M,,1224,0,0,0,,,,1,0,6,840,6,8,5,7,9,6,6,6,6,
PUEBLO CHARTER SCHOOL FOR THE ARTS & SCIENCES,2690,PUEBLO CITY 60,E,,7209,0,1,0,,,,1,0,6,840,6,6,6,6,6,6,6,4,6,
HARRY L MC GINNIS MIDDLE SCHOOL,490,BUENA VISTA R-31,M,,1132,0,0,0,Performance Plan,Performance Plan,,1,0,6,846,6,6,5,6,9,6,6,6,6,
FALCON MIDDLE SCHOOL,1110,FALCON 49,M,,2906,0,0,0,Performance Plan,Performance Plan,,1,0,6,847,6,7,6,7,6,6,5,6,6,
GODDARD MIDDLE SCHOOL,140,LITTLETON 6,M,,3472,0,0,0,Performance Plan,Performance Plan,,1,0,6,847,6,6,6,7,6,6,6,6,5,
NEWTON MIDDLE SCHOOL,140,LITTLETON 6,M,,4316,0,0,0,Performance Plan,Performance Plan,,1,0,6,847,9,9,7,9,9,5,5,6,2,
TAVELLI ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,8460,0,0,0,Performance Plan,Performance Plan,,1,0,6,847,8,7,8,9,6,6,6,5,6,
CENTRAL ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,1434,0,0,0,Performance Plan,Performance Plan,,1,0,6,851,6,6,6,6,6,6,6,6,6,
SOUTH RIDGE ELEMENTARY AN IB WORLD SCHOOL,900,DOUGLAS COUNTY RE 1,E,,8126,0,0,0,Performance Plan,Performance Plan,,1,0,6,851,6,6,6,6,6,6,6,7,6,
SKY VIEW MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,25,0,0,0,Performance Plan,Performance Plan,,1,0,6,853,6,7,6,7,7,6,6,5,6,
B F KITCHEN ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,865,0,0,0,Performance Plan,Performance Plan,,1,0,6,854,6,6,6,6,6,6,6,6,5,
EAST ELEMENTARY SCHOOL,2020,MOFFAT COUNTY RE:NO 1,E,,2374,0,0,0,Performance Plan,Performance Plan,,1,0,6,854,6,6,6,5,6,6,8,5,6,
HAYDEN VALLEY ELEMENTARY SCHOOL,2760,HAYDEN RE-1,E,,2522,0,0,0,Performance Plan,Performance Plan,,1,0,6,854,6,6,8,6,6,6,9,5,3,
JAMES MADISON CHARTER ACADEMY SCHOOL,990,WIDEFIELD 3,E,,5033,0,1,0,Performance Plan,Performance Plan,,1,0,6,854,6,6,6,6,5,6,6,6,6,
TRAIL RIDGE MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,,8903,0,0,0,Performance Plan,Performance Plan,,1,0,6,854,6,6,6,6,6,7,7,6,7,
AURORA WEST COLLEGE PREPARATORY ACADEMY,180,ADAMS-ARAPAHOE 28J,M,,9396,0,0,0,Performance Plan,Performance Plan,,1,0,6,854,2,3,2,3,3,10,10,9,9,
CESAR CHAVEZ ACADEMY,2690,PUEBLO CITY 60,M,,1488,0,1,0,,,,1,0,6,854,6,6,2,7,6,6,6,4,7,
MARY BLAIR ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,890,0,0,0,Performance Plan,Performance Plan,,1,0,6,861,7,6,9,6,8,5,5,5,6,
COLUMBINE MIDDLE SCHOOL,2180,MONTROSE COUNTY RE-1J,M,,6054,0,0,0,Performance Plan,Performance Plan,,1,0,6,861,6,6,6,8,6,6,6,7,6,
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,E,,53,0,0,0,,,,1,0,6,861,6,6,7,6,6,5,5,5,6,
AVON ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,471,0,0,0,Performance Plan,Performance Plan,,1,0,6,864,6,5,6,5,5,8,9,6,8,
MOUNTAIN RIDGE MIDDLE SCHOOL,1040,ACADEMY 20,M,,6140,0,0,0,Performance Plan,Performance Plan,,1,0,6,864,9,9,7,9,9,5,6,3,6,
NORTHGLENN MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,,6398,0,0,0,Performance Plan,Performance Plan,,1,0,6,864,6,6,5,6,6,8,8,6,8,
CENTENNIAL MIDDLE SCHOOL,2180,MONTROSE COUNTY RE-1J,M,,1392,0,0,0,Performance Plan,Performance Plan,,1,0,6,867,6,6,5,6,6,9,9,6,9,
COLUMBIA MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,1800,0,0,0,Performance Plan,Performance Plan,,1,0,6,867,6,5,6,6,6,8,6,9,6,
VAN ARSDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9052,0,0,0,Performance Plan,Performance Plan,,1,0,6,867,9,9,8,9,9,5,6,6,2,
ROCKRIMMON ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,7460,0,0,0,Performance Plan,Performance Plan,,1,0,6,870,9,9,9,9,7,5,3,6,6,
COLE ARTS AND SCIENCE ACADEMY,880,DENVER COUNTY 1,M,,1785,0,0,0,,,,1,0,6,870,1,1,1,3,5,11,9,12,11,
LAS ANIMAS ELEMENTARY SCHOOL,290,LAS ANIMAS RE-1,E,,1812,0,0,0,Performance Plan,Performance Plan,,1,0,6,872,8,9,9,8,6,5,5,3,6,
FOUNTAIN MIDDLE SCHOOL,1000,FOUNTAIN 8,M,,3106,0,0,0,Performance Plan,Performance Plan,,1,0,6,872,6,6,6,7,8,5,5,5,6,
MIAMI/YODER ELEMENTARY SCHOOL,1130,MIAMI/YODER 60 JT,E,,5850,0,0,0,Performance Plan,Performance Plan,,1,0,6,872,6,6,6,6,6,8,7,6,8,
OLATHE ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,,6486,0,0,0,Performance Plan,Performance Plan,,1,0,6,872,4,4,6,3,3,9,6,8,9,
VAUGHN ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,9060,0,0,0,Performance Plan,Performance Plan,,1,0,6,872,2,3,3,1,1,10,9,12,6,
CASTRO ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,9496,0,0,0,Performance Plan,Performance Plan,,1,0,6,872,1,1,3,2,3,10,9,10,9,
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,E,,146,0,1,0,,,,1,0,6,872,7,9,6,6,7,6,3,6,6,
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,M,,3846,0,0,0,,,,1,0,6,872,6,7,5,7,6,6,6,5,8,
RIVERDALE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,2584,0,0,0,Performance Plan,Performance Plan,,1,0,6,880,6,6,6,6,6,6,6,6,6,
KENNETH P MORRIS ELEMENTARY SCHOOL,3200,YUMA 1,E,,9795,0,0,0,Performance Plan,Performance Plan,,1,0,6,880,6,5,6,5,5,6,6,9,4,
RIM ROCK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,362,0,0,0,Performance Plan,Performance Plan,,1,0,6,882,6,6,6,6,7,6,5,5,7,
ABRAMS ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,1334,0,0,0,Performance Plan,Performance Plan,,1,0,6,882,6,6,6,6,7,5,6,5,6,
CENTENNIAL ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,1388,0,0,0,Performance Plan,Performance Plan,,1,0,6,882,6,6,6,5,6,6,6,6,6,
LAWRENCE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5024,0,0,0,Performance Plan,Performance Plan,,1,0,6,882,6,6,6,6,6,6,8,1,8,
PIONEER BILINGUAL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,6962,0,0,0,Performance Plan,Performance Plan,,1,0,6,882,6,6,6,6,6,6,6,7,6,
WELCHESTER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9342,0,0,0,Performance Plan,Performance Plan,,1,0,6,882,6,6,6,6,6,7,9,6,6,
SILVER HILLS MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,,4187,0,0,0,Performance Plan,Performance Plan,,1,0,6,888,6,6,6,6,8,6,6,6,6,
LANSING ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,4970,0,0,0,Performance Plan,Performance Plan,,1,0,6,888,3,3,4,3,1,9,7,10,9,
LAREDO MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,4975,0,0,0,Performance Plan,Performance Plan,,1,0,6,888,6,6,6,7,6,6,5,6,6,
AGUILAR ELEMENTARY SCHOOL,1620,AGUILAR REORGANIZED 6,E,,58,0,0,0,Performance Plan,Performance Plan,,1,0,6,891,6,6,6,6,5,6,7,6,6,
CLEAR CREEK MIDDLE SCHOOL,540,CLEAR CREEK RE-1,M,,1660,0,0,0,Performance Plan,Performance Plan,,1,0,6,892,6,6,6,7,7,5,5,5,6,
ROCKY MOUNTAIN ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,7464,0,0,0,Performance Plan,Performance Plan,,1,0,6,892,5,5,6,6,4,7,9,7,6,
SILVERTON MIDDLE SCHOOL,2820,SILVERTON 1,M,,7902,0,0,0,Performance Plan,Performance Plan,,1,0,6,892,,6,5,6,,6,6,6,7,
TRUSCOTT ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,8918,0,0,0,Performance Plan,Performance Plan,,1,0,6,892,6,6,6,5,6,6,9,6,6,
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),M,,2166,0,0,0,,,,1,0,6,892,6,6,5,6,6,7,7,6,9,
MOORE K-8 SCHOOL,880,DENVER COUNTY 1,M,,6088,0,0,0,,,,1,0,6,892,4,5,1,5,6,8,9,6,7,
NORTH VALLEY MIDDLE SCHOOL,3080,WELD COUNTY RE-1,M,,4854,0,0,0,Performance Plan,Performance Plan,,1,0,6,898,6,6,3,6,7,6,9,5,8,
ANGEVINE MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,,4878,0,0,0,Performance Plan,Performance Plan,,1,0,6,898,6,6,5,6,7,7,9,6,9,
VINELAND MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,9134,0,0,0,Performance Plan,Performance Plan,,1,0,6,900,6,6,6,6,9,6,6,6,6,
BENNETT ELEMENTARY SCHOOL,50,BENNETT 29J,E,,770,0,0,0,Performance Plan,Performance Plan,,1,0,6,901,6,6,6,6,6,6,5,5,6,
HOLM ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,4074,0,0,0,Performance Plan,Performance Plan,,1,0,6,901,5,4,6,5,6,7,7,6,9,
PANORAMA MIDDLE SCHOOL,980,HARRISON 2,M,,6686,0,0,0,Performance Plan,Performance Plan,,1,0,6,901,5,5,5,6,6,6,6,7,6,
CLAYTON ELEMENTARY SCHOOL,120,ENGLEWOOD 1,E,,1652,0,0,0,Performance Plan,Performance Plan,,1,0,6,904,6,6,6,6,5,6,5,6,6,
EXPLORER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,2800,0,0,0,Performance Plan,Performance Plan,,1,0,6,904,10,10,10,10,9,5,6,5,5,
SOPRIS ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,,8038,0,0,0,Performance Plan,Performance Plan,,1,0,6,904,7,7,9,7,6,3,6,1,6,
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,2000,MESA COUNTY VALLEY 51,E,,5828,0,0,0,,,,1,0,6,904,6,6,6,5,6,6,6,5,6,
MOUNTAIN VISTA COMMUNITY SCHOOL,980,HARRISON 2,E,,6162,0,0,0,,,,1,0,6,904,6,6,7,6,5,6,6,6,6,
PRAIRIE ELEMENTARY SCHOOL,3147,PRAIRIE RE-11,E,,7154,0,0,0,Performance Plan,Performance Plan,,1,0,6,909,9,10,10,9,9,5,4,6,5,
PLACE BRIDGE ACADEMY,880,DENVER COUNTY 1,M,,7045,0,0,0,,,,1,0,6,909,1,1,1,1,5,9,8,9,7,
FRUITA 8/9 SCHOOL,2000,MESA COUNTY VALLEY 51,M,,361,0,0,0,Performance Plan,Performance Plan,,1,0,6,911,6,6,3,6,6,6,6,5,6,
LINCOLN ORCHARD MESA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,5210,0,0,0,Performance Plan,Performance Plan,,1,0,6,911,6,5,6,5,6,6,7,6,6,
MARTINEZ ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,5610,0,0,0,Performance Plan,Performance Plan,,1,0,6,911,9,8,9,9,6,5,2,5,6,
NISLEY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,6264,0,0,0,Performance Plan,Performance Plan,,1,0,6,914,5,5,6,3,3,7,8,9,5,
BAKER CENTRAL SCHOOL,2405,FORT MORGAN RE-3,E,,492,0,0,0,Performance Plan,Performance Plan,,1,0,6,915,6,6,5,6,5,6,6,6,7,
BELMAR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,724,0,0,0,Performance Plan,Performance Plan,,1,0,6,915,6,6,6,6,6,6,6,6,6,
WEBSTER ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,,9334,0,0,0,Performance Plan,Performance Plan,,1,0,6,915,6,6,7,6,6,6,6,6,6,
YORK INTERNATIONAL,10,MAPLETON 1,M,,503,0,0,0,,,,1,0,6,915,6,6,5,6,6,6,6,5,6,
NEW VISION CHARTER SCHOOL,1560,THOMPSON R2-J,M,,6220,0,1,0,,,,1,0,6,915,6,7,5,9,9,6,7,6,6,
INDIAN PEAKS ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,4278,0,0,0,Performance Plan,Performance Plan,,1,0,6,920,5,5,6,6,2,8,6,7,9,
HOPKINS ELEMENTARY SCHOOL,140,LITTLETON 6,E,,5572,0,0,0,Performance Plan,Performance Plan,,1,0,6,920,7,6,8,6,7,6,2,6,6,
PARR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6806,0,0,0,Performance Plan,Performance Plan,,1,0,6,920,6,6,6,6,6,6,6,6,3,
CANON CITY MIDDLE SCHOOL,1140,CANON CITY RE-1,M,,1262,0,0,0,Performance Plan,Performance Plan,,1,0,6,923,6,6,6,6,6,5,5,5,5,
ARCHULETA ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,3340,0,0,0,Performance Plan,Performance Plan,,1,0,6,923,5,4,6,5,5,7,6,9,6,
NORTHRIDGE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,6404,0,0,0,Performance Plan,Performance Plan,,1,0,6,923,3,3,5,3,1,9,9,7,7,
OTIS ELEMENTARY SCHOOL,3050,OTIS R-3,E,,6582,0,0,0,Performance Plan,Performance Plan,,1,0,6,923,6,6,6,6,9,6,6,6,7,
PLATTEVILLE ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,E,,7056,0,0,0,Performance Plan,Performance Plan,,1,0,6,923,6,7,7,6,6,6,7,6,5,
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,458,0,1,0,,,,1,0,6,923,6,6,6,6,6,6,6,6,6,
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,,655,0,1,0,,,,1,0,6,923,6,6,6,6,6,6,10,5,3,
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,M,,657,0,1,0,,,,1,0,6,923,,6,3,6,,6,8,6,6,
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,M,,842,0,0,0,,,,1,0,6,923,5,5,3,6,5,6,9,5,7,
IDALIA JUNIOR-SENIOR HIGH SCHOOL,3220,IDALIA RJ-3,M,,4231,0,0,0,,,,1,0,6,923,4,3,4,4,6,7,6,12,3,
CROWLEY COUNTY WARD MIDDLE SCHOOL,770,CROWLEY COUNTY RE-1-J,M,,2054,0,0,0,Performance Plan,Performance Plan,,1,0,6,933,6,6,5,6,5,6,6,5,7,
HARRINGTON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,3778,0,0,0,Performance Plan,Improvement Plan,Deferred to district rating,1,0,6,933,2,1,5,2,1,9,9,9,9,
SIERRA MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,,6773,0,0,0,Performance Plan,Performance Plan,,1,0,6,933,8,7,6,9,9,6,3,6,6,
STELLAR ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,8225,0,0,0,Performance Plan,Performance Plan,,1,0,6,933,6,6,7,6,6,6,6,5,6,
LINCOLN CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,M,,5145,0,1,0,,,,1,0,6,933,8,9,6,9,9,5,6,3,6,
LAMAR MIDDLE SCHOOL,2660,LAMAR RE-2,M,,4956,0,0,0,Performance Plan,Performance Plan,,1,0,6,938,6,6,6,6,6,6,5,6,6,
HEIMAN ELEMENTARY SCHOOL,3120,GREELEY 6,E,,52,0,0,0,Performance Plan,Performance Plan,,1,0,6,939,6,5,6,6,5,6,3,9,6,
LOMA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,5244,0,0,0,Performance Plan,Performance Plan,,1,0,6,939,9,7,9,7,8,5,6,3,6,
PIONEER ELEMENTARY SCHOOL,2405,FORT MORGAN RE-3,E,,6954,0,0,0,Performance Plan,Performance Plan,,1,0,6,939,,5,6,3,,6,6,6,6,
SPANGLER ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,8140,0,0,0,Performance Plan,Performance Plan,,1,0,6,939,4,3,5,5,2,7,6,6,12,
TAYLOR ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,8462,0,0,0,Performance Plan,Performance Plan,,1,0,6,939,6,7,7,6,6,5,6,3,6,
PAGOSA SPRINGS MIDDLE SCHOOL,220,ARCHULETA COUNTY 50 JT,E,,6657,0,0,0,,,,1,0,6,939,6,7,6,6,6,6,9,5,4,
ALLENDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,148,0,0,0,Performance Plan,Performance Plan,,1,0,6,945,5,5,5,3,5,6,6,7,5,
KEN CARYL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,4548,0,0,0,Performance Plan,Performance Plan,,1,0,6,945,8,8,7,9,9,5,3,8,2,
HUDSON ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,,4148,0,0,0,Performance Plan,Performance Plan,,1,0,6,947,6,6,6,6,5,6,6,6,6,
SAGEBRUSH ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,7559,0,0,0,Performance Plan,Performance Plan,,1,0,6,947,6,6,6,6,6,6,6,6,5,
WATSON JUNIOR HIGH SCHOOL,990,WIDEFIELD 3,M,,9294,0,0,0,Performance Plan,Performance Plan,,1,0,6,947,6,6,6,6,6,6,5,9,5,
EYESTONE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,9370,0,0,0,Performance Plan,Performance Plan,,1,0,6,947,6,6,7,6,6,6,6,5,7,
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,M,,53,0,0,0,,,,1,0,6,947,6,6,5,6,6,6,6,6,6,
IMAGINE CHARTER,470,ST VRAIN VALLEY RE 1J,M,,4333,0,1,0,,,,1,0,6,947,6,7,5,6,6,6,5,7,6,
